repo,branch,commit,tag,description
/Users/bsergi/Documents/github/ReEDS/.git,main,0c0ea27500755f3e2513b93c6d97a74b95846021,2026.08.03,2026.08.03-71-g0c0ea275
#,#,#,#,#
year,process,starttime,stoptime,processtime
0,input_processing/copy_files.py,2026-08-10T11:15:08.850804,2026-08-10T11:15:35.689729,26.838925
0,input_processing/mcs_sampler.py,2026-08-10T11:15:40.996431,2026-08-10T11:15:41.001856,0.005425
0,input_processing/climateprep.py,2026-08-10T11:15:43.159283,2026-08-10T11:15:43.165225,0.005942
0,input_processing/hydcf.py,2026-08-10T11:15:45.353515,2026-08-10T11:15:46.074297,0.720782
0,input_processing/h2_storage.py,2026-08-10T11:15:48.180820,2026-08-10T11:15:48.294254,0.113434
0,input_processing/calc_financial_inputs.py,2026-08-10T11:15:50.449072,2026-08-10T11:15:54.521467,4.072395
0,input_processing/fuelcostprep.py,2026-08-10T11:15:56.650462,2026-08-10T11:15:57.266780,0.616318
0,input_processing/writecapdat.py,2026-08-10T11:15:59.420074,2026-08-10T11:16:00.254650,0.834576
0,input_processing/writesupplycurves.py,2026-08-10T11:16:02.500014,2026-08-10T11:16:05.270766,2.770752
0,input_processing/writedrshift.py,2026-08-10T11:16:07.497878,2026-08-10T11:16:07.507267,0.009389
0,input_processing/plantcostprep.py,2026-08-10T11:16:09.782061,2026-08-10T11:16:09.893397,0.111336
0,input_processing/hourly_load.py,2026-08-10T11:16:12.100085,2026-08-10T11:16:26.659645,14.55956
0,input_processing/recf.py,2026-08-10T11:16:28.897459,2026-08-10T11:20:36.396763,247.499304
0,input_processing/WriteHintage.py,2026-08-10T11:20:39.096391,2026-08-10T11:20:39.750478,0.654087
0,input_processing/transmission.py,2026-08-10T11:20:42.003457,2026-08-10T11:21:01.722336,19.718879
0,input_processing/outage_rates.py,2026-08-10T11:21:03.975089,2026-08-10T11:21:07.257393,3.282304
0,input_processing/hourly_repperiods.py,2026-08-10T11:21:11.507934,2026-08-10T11:22:53.451589,101.943655
0,input_processing/h5_to_gdx.py,2026-08-10T11:22:55.737876,2026-08-10T11:23:21.446555,25.708679
0,a_createmodel.gms,2026-08-10T11:23:21.787000,2026-08-10T11:23:37,15.213
2010,3_solve_oneyear.gms,2026-08-10T11:23:42.331000,2026-08-10T11:23:58.662000,16.331
2010,solver/barrier,2026-08-10T11:23:58.662000,2026-08-10T11:23:59.892000,1.23
2010,solver/crossover,2026-08-10T11:23:59.892000,2026-08-10T11:23:59.912000,0.02
2010,solver/remainder,2026-08-10T11:23:59.912000,2026-08-10T11:24:02,2.088
0,input_processing/check_inputs.py,2026-08-10T11:24:04.793240,2026-08-10T11:24:07.379287,2.586047
2015,3_solve_oneyear.gms,2026-08-10T11:24:11.465000,2026-08-10T11:24:12.486000,1.021
2015,solver/barrier,2026-08-10T11:24:12.486000,2026-08-10T11:24:12.646000,0.16
2015,solver/crossover,2026-08-10T11:24:12.646000,2026-08-10T11:24:12.666000,0.02
2015,solver/remainder,2026-08-10T11:24:12.666000,2026-08-10T11:24:14,1.334
2020,3_solve_oneyear.gms,2026-08-10T11:24:19.272000,2026-08-10T11:24:20.317000,1.045
2020,solver/barrier,2026-08-10T11:24:20.317000,2026-08-10T11:24:22.577000,2.26
2020,solver/crossover,2026-08-10T11:24:22.577000,2026-08-10T11:24:22.597000,0.02
2020,solver/remainder,2026-08-10T11:24:22.597000,2026-08-10T11:24:24,1.403
2023,3_solve_oneyear.gms,2026-08-10T11:24:28.881000,2026-08-10T11:24:29.959000,1.078
2023,solver/barrier,2026-08-10T11:24:29.959000,2026-08-10T11:24:30.469000,0.51
2023,solver/crossover,2026-08-10T11:24:30.469000,2026-08-10T11:24:30.489000,0.02
2023,solver/remainder,2026-08-10T11:24:30.489000,2026-08-10T11:24:32,1.5110000000000001
2023,ra/prep_data.py,2026-08-10T11:24:33.046790,2026-08-10T11:24:42.311076,9.264286
2023,ra/capacity_credit.py,2026-08-10T11:24:42.311425,2026-08-10T11:24:42.312105,0.00068
2023,ReEDS2PRAS,2026-08-10T11:24:57,2026-08-10T11:25:21,24.0
2023,PRAS,2026-08-10T11:25:21,2026-08-10T11:28:04,163.0
2023,ra/stress_periods.py,2026-08-10T11:28:05.087176,2026-08-10T11:28:06.372069,1.284893
2026,3_solve_oneyear.gms,2026-08-10T11:28:12.194000,2026-08-10T11:28:13.509000,1.315
2026,solver/barrier,2026-08-10T11:28:13.509000,2026-08-10T11:28:25.049000,11.54
2026,solver/crossover,2026-08-10T11:28:25.049000,2026-08-10T11:28:25.149000,0.1
2026,solver/remainder,2026-08-10T11:28:25.149000,2026-08-10T11:28:27,1.851
2026,ra/prep_data.py,2026-08-10T11:28:27.815703,2026-08-10T11:28:37.754634,9.938931
2026,ra/capacity_credit.py,2026-08-10T11:28:37.754985,2026-08-10T11:28:37.755529,0.000544
2026,ReEDS2PRAS,2026-08-10T11:28:50,2026-08-10T11:29:20,30.0
2026,PRAS,2026-08-10T11:29:20,2026-08-10T11:32:36,196.0
2026,ra/stress_periods.py,2026-08-10T11:32:37.178775,2026-08-10T11:32:39.416358,2.237583
2029,3_solve_oneyear.gms,2026-08-10T11:32:43.322000,2026-08-10T11:32:45.408000,2.086
2029,solver/barrier,2026-08-10T11:32:45.408000,2026-08-10T11:33:08.548000,23.14
2029,solver/crossover,2026-08-10T11:33:08.548000,2026-08-10T11:33:09.008000,0.46
2029,solver/remainder,2026-08-10T11:33:09.008000,2026-08-10T11:33:12,2.992
