i,r,t,Value
battery_li,CA_LA,2015,3.0
battery_li,CA_LA,2020,80.9
battery_li,CA_LA,2023,734.8
battery_li,CA_LA,2026,1484.4
battery_li,CA_LA,2029,1483.4
battery_li,CA_LA,2032,1446.4
battery_li,CA_N,2015,8.0
battery_li,CA_N,2020,9.5
battery_li,CA_N,2023,345.5
battery_li,CA_N,2026,1371.6
battery_li,CA_N,2029,1371.6
battery_li,CA_N,2032,1363.6
battery_li,CA_S,2020,101.5
battery_li,CA_S,2023,3303.1
battery_li,CA_S,2026,6491.5
battery_li,CA_S,2029,7361.891701
battery_li,CA_S,2032,7361.891701
battery_li,CA_SE,2015,4.0
battery_li,CA_SE,2020,397.0
battery_li,CA_SE,2023,3573.6
battery_li,CA_SE,2026,7947.8
battery_li,CA_SE,2029,8486.754837
battery_li,CA_SE,2032,8381.254837
battery_li,OR_E,2023,30.0
battery_li,OR_E,2026,32.0
battery_li,OR_E,2029,43.409248
battery_li,OR_E,2032,43.409248
battery_li,OR_W,2015,5.0
battery_li,OR_W,2020,5.0
battery_li,OR_W,2023,5.0
battery_li,OR_W,2026,492.0
battery_li,OR_W,2029,667.356798
battery_li,OR_W,2032,662.356798
battery_li,WA_E,2020,1.0
battery_li,WA_E,2023,1.0
battery_li,WA_E,2026,1.0
battery_li,WA_E,2029,1.380262
battery_li,WA_E,2032,1.380262
battery_li,WA_W,2015,1.0
battery_li,WA_W,2020,4.0
battery_li,WA_W,2023,5.0
battery_li,WA_W,2026,28.0
battery_li,WA_W,2029,28.0
battery_li,WA_W,2032,25.0
biopower,CA_LA,2020,22.0
biopower,CA_LA,2023,22.0
biopower,CA_LA,2026,22.0
biopower,CA_LA,2029,22.0
biopower,CA_LA,2032,22.0
biopower,CA_N,2010,306.1
biopower,CA_N,2015,311.5
biopower,CA_N,2020,299.7
biopower,CA_N,2023,302.7
biopower,CA_N,2026,307.7
biopower,CA_N,2029,310.7
biopower,CA_N,2032,163.8
biopower,CA_S,2010,88.7
biopower,CA_S,2015,90.5
biopower,CA_S,2020,94.5
biopower,CA_S,2023,98.7
biopower,CA_S,2026,101.1
biopower,CA_S,2029,101.1
biopower,CA_S,2032,89.6
biopower,CA_SE,2010,75.5
biopower,CA_SE,2015,75.5
biopower,CA_SE,2020,75.5
biopower,CA_SE,2023,62.5
biopower,CA_SE,2026,65.1
biopower,CA_SE,2029,65.1
biopower,CA_SE,2032,49.6
biopower,OR_E,2010,7.5
biopower,OR_E,2015,7.5
